MOVIE NAME, YEAR, MALE SINGER COUNT, FEMALE SINGER COUNT, MALE SONG COUNT, FEMALE SONG COUNT,total,male_percent,female_percent,difference,bias
Divya Shakti_1993,1993,1,3,5,7,4,25.0,75.0,-50.0,bias
Bezubaan_1982,1982,2,2,4,3,4,50.0,50.0,0.0,non bias
Aao Pyaar Karen_1983,1983,2,2,6,2,4,50.0,50.0,0.0,non bias
Khooni Raat_1991,1991,0,2,0,3,2,0.0,100.0,-100.0,bias
Trinetra (1991 film)_1991,1991,3,3,4,3,6,50.0,50.0,0.0,non bias
Bindiya Chamkegi_1984,1984,1,2,2,8,3,33.33333333333333,66.66666666666666,-33.33333333333333,bias
Raat (film)_1992,1992,2,1,2,1,3,66.66666666666666,33.33333333333333,33.33333333333333,bias
Mela (2000 film)_2000,2000,10,5,17,9,15,66.66666666666666,33.33333333333333,33.33333333333333,bias
Prem Rog (1982 film)_1982,1982,1,2,4,5,3,33.33333333333333,66.66666666666666,-33.33333333333333,bias
Jaan Pechaan_1991,1991,0,2,0,7,2,0.0,100.0,-100.0,bias
Dee Saturday Night_2014,2014,5,3,5,3,8,62.5,37.5,25.0,bias
Samadhi (1972 film)_1972,1972,1,2,2,4,3,33.33333333333333,66.66666666666666,-33.33333333333333,bias
Ek Paheli_1971,1971,1,2,4,10,3,33.33333333333333,66.66666666666666,-33.33333333333333,bias
Gunaah (1993 film)_1993,1993,0,3,0,4,3,0.0,100.0,-100.0,bias
Mubarakan_2017,2017,1,1,1,1,2,50.0,50.0,0.0,non bias
Bin Bulaye Baraati_2011,2011,0,1,0,1,1,0.0,100.0,-100.0,bias
Gopi Kishan_1994,1994,2,2,5,5,4,50.0,50.0,0.0,non bias
Kora Kagaz_1974,1974,1,1,1,2,2,50.0,50.0,0.0,non bias
All Rounder (1984 film)_1984,1984,3,5,4,6,8,37.5,62.5,-25.0,bias
Inquilaab (1984 film)_1984,1984,1,1,2,3,2,50.0,50.0,0.0,non bias
Khoon Khoon_1973,1973,4,2,6,3,6,66.66666666666666,33.33333333333333,33.33333333333333,bias
Dand Nayak_1998,1998,0,0,0,0,0,,,,bias
Jattu Engineer_2017,2017,1,0,2,0,1,100.0,0.0,100.0,bias
Baadshah (1999 film)_1999,1999,3,1,6,2,4,75.0,25.0,50.0,bias
Cheetah (1994 film)_1994,1994,2,3,3,5,5,40.0,60.0,-20.0,bias
Sangeet (1992 film)_1992,1992,3,1,7,10,4,75.0,25.0,50.0,bias
Libaas_1988,1988,0,1,0,1,1,0.0,100.0,-100.0,bias
Balidaan_1971,1971,1,3,6,7,4,25.0,75.0,-50.0,bias
Dolly Ki Doli_2015,2015,1,2,1,2,3,33.33333333333333,66.66666666666666,-33.33333333333333,bias
Dhund (1973 film)_1973,1973,2,2,2,4,4,50.0,50.0,0.0,non bias
Rani Mera Naam_1972,1972,1,1,1,8,2,50.0,50.0,0.0,non bias
Bandagi_1972,1972,1,1,3,2,2,50.0,50.0,0.0,non bias
Dharam Kanta_1982,1982,2,1,4,4,3,66.66666666666666,33.33333333333333,33.33333333333333,bias
Milap_1972,1972,3,1,4,4,4,75.0,25.0,50.0,bias
Lakshmi (1982 film)_1982,1982,1,2,2,6,3,33.33333333333333,66.66666666666666,-33.33333333333333,bias
Zimmedaaar_1990,1990,0,2,0,3,2,0.0,100.0,-100.0,bias
Tarkeeb_1984,1984,4,4,10,6,8,50.0,50.0,0.0,non bias
Aaj Ka Goonda Raaj_1992,1992,3,3,5,6,6,50.0,50.0,0.0,non bias
Police Public_1990,1990,0,3,0,5,3,0.0,100.0,-100.0,bias
Besahara_1987,1987,1,1,1,2,2,50.0,50.0,0.0,non bias
Sapoot_1996,1996,3,4,4,6,7,42.857142857142854,57.14285714285714,-14.285714285714285,bias
Ghar Ghar Ki Kahani_1970,1970,3,3,4,4,6,50.0,50.0,0.0,non bias
Gang (2000 film)_2000,2000,5,4,9,5,9,55.55555555555556,44.44444444444444,11.111111111111114,bias
Chhaila Babu_1977,1977,1,1,1,1,2,50.0,50.0,0.0,non bias
Revolver Rani_2014,2014,7,5,11,6,12,58.333333333333336,41.66666666666667,16.666666666666664,bias
Aamne Samne (1982 film)_1982,1982,2,2,3,3,4,50.0,50.0,0.0,non bias
Naajayaz_1995,1995,3,1,6,5,4,75.0,25.0,50.0,bias
Kal Aaj Aur Kal_1971,1971,3,2,6,4,5,60.0,40.0,20.0,bias
Yaar Gaddar_1994,1994,2,1,5,3,3,66.66666666666666,33.33333333333333,33.33333333333333,bias
Himmatwala (1998 film)_1998,1998,0,0,0,0,0,,,,bias
O Teri_2014,2014,4,1,7,1,5,80.0,20.0,60.0,bias
Kachcha Chor_1977,1977,0,0,0,0,0,,,,bias
Jaanwar (1983 film)_1983,1983,1,2,4,2,3,33.33333333333333,66.66666666666666,-33.33333333333333,bias
Maa Kasam (1999 film)_1999,1999,1,2,1,5,3,33.33333333333333,66.66666666666666,-33.33333333333333,bias
Lafangey Parindey_2010,2010,2,2,2,2,4,50.0,50.0,0.0,non bias
Chattan Singh_1974,1974,3,3,4,7,6,50.0,50.0,0.0,non bias
Mohabbat Ke Dushman_1988,1988,2,1,3,4,3,66.66666666666666,33.33333333333333,33.33333333333333,bias
Dil Pe Mat Le Yaar_2000,2000,6,2,6,3,8,75.0,25.0,50.0,bias
Agreement (film)_1980,1980,0,1,0,4,1,0.0,100.0,-100.0,bias
Kick (2014 Film)_2014,2014,6,4,14,10,10,60.0,40.0,20.0,bias
Jai Jwala_1972,1972,2,2,3,3,4,50.0,50.0,0.0,non bias
Sooper Se Ooper_2013,2013,3,2,3,2,5,60.0,40.0,20.0,bias
Dil Kaa Heera_1979,1979,1,2,2,10,3,33.33333333333333,66.66666666666666,-33.33333333333333,bias
Maha Badmaash_1977,1977,0,0,0,0,0,,,,bias
Amiri Garibi_1990,1990,0,3,0,5,3,0.0,100.0,-100.0,bias
Ramu Ustad_1971,1971,1,2,2,7,3,33.33333333333333,66.66666666666666,-33.33333333333333,bias
Bawandar_2000,2000,0,2,0,4,2,0.0,100.0,-100.0,bias
Mere Sajna_1975,1975,1,2,2,8,3,33.33333333333333,66.66666666666666,-33.33333333333333,bias
Aiyyaa_2012,2012,2,5,2,5,7,28.57142857142857,71.42857142857143,-42.85714285714286,bias
Pyaasa Sawan_1981,1981,2,2,4,4,4,50.0,50.0,0.0,non bias
Barsaat (1995 film)_1995,1995,2,3,7,5,5,40.0,60.0,-20.0,bias
Aarakshan_2011,2011,6,2,10,4,8,75.0,25.0,50.0,bias
Aap Beati_1976,1976,3,4,6,5,7,42.857142857142854,57.14285714285714,-14.285714285714285,bias
Veergati_1995,1995,3,2,5,3,5,60.0,40.0,20.0,bias
Shehzaade_1989,1989,2,4,2,6,6,33.33333333333333,66.66666666666666,-33.33333333333333,bias
Coolie No. 1 (1995 film)_1995,1995,3,3,7,5,6,50.0,50.0,0.0,non bias
Adalat (1976 film)_1976,1976,5,1,5,1,6,83.33333333333334,16.666666666666664,66.66666666666669,bias
Kala Suraj_1985,1985,1,1,1,2,2,50.0,50.0,0.0,non bias
